DEPTH,TVDSS,GR,RT,NPHI,RHOB,VCALCITE,VQUARTZ,VSH,VCOAL,VORGSH,VGAS,VOIL,VWATER,PHIT,PHIE,SWE,PERM,LITHO,FLUID,Wells
3269.0,3045.5136,64.389,9.1943,0.5345,1.7365,0.0,0.077104,0.5073,0.0,0.0,0.061448,0.268421,0.085754,0.415624,0.155195,0.2063,9.2875,6.0,,SH-15
3269.5,3045.987,60.3268,12.5213,0.5718,1.6978,0.0,0.080464,0.4742,0.0,0.0,0.046589,0.321127,0.077608,0.445324,0.167771,0.1743,13.5237,1.0,11.0,SH-15
3270.0,3046.4605,60.3665,11.4006,0.6299,1.6682,0.0,0.051707,0.4782,0.0,0.0,0.026781,0.360294,0.082993,0.470067,0.166232,0.1766,12.936,1.0,11.0,SH-15
3270.5,3046.9339,60.8188,11.7024,0.611,1.695,0.0,0.065423,0.4801,0.0,0.0,0.02866,0.345182,0.080638,0.45448,0.165514,0.1774,12.6687,1.0,11.0,SH-15
3271.0,3047.4073,64.8102,6.537,0.5772,1.7447,0.0,0.064494,0.5123,0.0,0.0,0.037672,0.283384,0.102175,0.423231,0.153296,0.2414,8.752,6.0,,SH-15
3271.5,3047.8806,62.8361,3.2257,0.6198,1.7424,0.0,0.061393,0.4968,0.0,0.0,0.015334,0.276545,0.14991,0.441789,0.159142,0.3393,10.4834,1.0,11.0,SH-15
3272.0,3048.354,56.6415,2.7943,0.6922,1.6766,0.0,0.057957,0.4496,0.0,0.0,0.0,0.317974,0.174465,0.492439,0.177223,0.3543,17.6157,1.0,11.0,SH-15
3272.5,3048.8273,58.3809,4.0859,0.647,1.5943,0.0,0.020825,0.4662,0.0,0.0,0.038745,0.329295,0.144888,0.512928,0.170809,0.2825,14.7465,1.0,11.0,SH-15
3273.0,3049.3006,68.0017,7.6857,0.5515,1.5531,0.0,0.0,0.5161,0.0,0.0,0.1207,0.265718,0.097475,0.483893,0.151843,0.2061,8.3589,6.0,,SH-15
3273.5,3049.7739,71.7536,7.8741,0.5068,1.5924,0.0,0.0,0.5506,0.0,0.0,0.142576,0.215347,0.091507,0.44943,0.138958,0.2075,0.2963,6.0,,SH-15
3274.0,3050.2471,68.2988,5.8254,0.5006,1.6571,0.0,0.020538,0.5459,0.0,0.0,0.113106,0.213474,0.106936,0.433516,0.140673,0.2467,0.32,6.0,,SH-15
3274.5,3050.7204,69.0327,5.0548,0.5004,1.6511,0.0,0.011773,0.553,0.0,0.0,0.116777,0.203999,0.114484,0.43526,0.138065,0.263,0.2845,6.0,,SH-15
3275.0,3051.1936,67.4317,3.7932,0.5055,1.6303,0.0,0.009871,0.5404,0.0,0.0,0.117756,0.196749,0.135273,0.449778,0.142751,0.3008,0.3509,6.0,,SH-15
3275.5,3051.6668,68.8749,3.8784,0.5162,1.6933,0.0,0.025338,0.55,0.0,0.0,0.094674,0.200574,0.129458,0.424706,0.139176,0.3048,0.2992,6.0,,SH-15
3276.0,3052.14,68.0348,4.2193,0.5301,1.7794,0.0,0.06681,0.5379,0.0,0.0,0.058025,0.216326,0.120961,0.395312,0.143668,0.306,0.3654,6.0,,SH-15
3276.5,3052.6131,70.489,3.6369,0.5434,1.8361,0.0,0.070074,0.5572,0.0,0.0,0.037194,0.210664,0.124898,0.372755,0.136499,0.3351,0.2648,6.0,,SH-15
3277.0,3053.0862,69.4054,2.9181,0.549,1.8876,0.0,0.09763,0.5449,0.0,0.0,0.016288,0.203412,0.137744,0.357443,0.141038,0.3854,0.3253,6.0,,SH-15
3277.5,3053.5594,68.8605,2.73,0.5403,1.9098,0.0,0.113256,0.5385,0.0,0.0,0.012945,0.194049,0.141209,0.348203,0.143414,0.4055,0.3613,6.0,,SH-15
3278.0,3054.0324,71.6835,2.4538,0.5078,1.9234,0.0,0.107432,0.562,0.0,0.0,0.031111,0.15697,0.142522,0.330603,0.134721,0.4311,0.2438,6.0,,SH-15
3278.5,3054.5055,71.852,2.3229,0.4708,1.97,0.0,0.137259,0.5595,0.0,0.0,0.036808,0.126275,0.140172,0.303255,0.135635,0.4622,0.2544,6.0,,SH-15
3279.0,3054.9786,76.6358,1.7902,0.4756,2.018,0.0,0.121311,0.6,0.0,0.0,0.02682,0.104149,0.147762,0.27873,0.12082,0.5301,0.1229,6.0,,SH-15
3279.5,3055.4516,76.9284,1.8204,0.5139,2.0281,0.0,0.11269,0.6034,0.0,0.0,0.002104,0.1341,0.14769,0.283893,0.119566,0.5202,0.1151,6.0,,SH-15
3280.0,3055.9246,76.059,1.7609,0.5278,2.0232,0.0,0.113415,0.5975,0.0,0.0,0.0,0.136682,0.152404,0.289086,0.121708,0.5272,0.1287,6.0,,SH-15
3280.5,3056.3976,75.8161,1.6726,0.5147,2.0322,0.0,0.121626,0.5936,0.0,0.0,0.0,0.12928,0.155464,0.284744,0.123111,0.546,0.1383,6.0,,SH-15
3281.0,3056.8705,76.8416,2.2549,0.5123,2.0484,0.0,0.125492,0.6021,0.0,0.0,0.0,0.142633,0.129739,0.272372,0.120023,0.4763,0.1179,6.0,,SH-15
3281.5,3057.3435,72.6077,1.7222,0.519,2.0475,0.0,0.152676,0.5668,0.0,0.0,0.0,0.12537,0.155179,0.28055,0.132934,0.5531,0.2242,6.0,,SH-15
3282.0,3057.8164,74.1697,1.8711,0.5152,2.0289,0.0,0.133109,0.5794,0.0,0.0,0.0,0.13809,0.149369,0.287459,0.128284,0.5196,0.1792,6.0,,SH-15
3282.5,3058.2893,69.6609,1.8002,0.5151,2.0134,0.0,0.158074,0.5405,0.0,0.0,0.0,0.140335,0.161132,0.301467,0.142677,0.5345,0.3498,6.0,,SH-15
3283.0,3058.7621,71.3714,2.2632,0.5137,2.0068,0.0,0.144568,0.5548,0.0,0.0,0.0,0.158804,0.141851,0.300655,0.137356,0.4718,0.2754,6.0,,SH-15
3283.5,3059.235,67.2457,3.37,0.4757,2.0192,0.99999,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,1e-05,1e-05,1.0,0.0,2.0,,SH-15
3284.0,3059.7078,62.0524,3.1993,0.4233,2.0653,0.99999,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,1e-05,1e-05,1.0,0.0,2.0,,SH-15
3284.5,3060.1806,57.0527,3.2097,0.404,2.1204,0.99999,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,1e-05,1e-05,1.0,0.0,2.0,,SH-15
3285.0,3060.6534,63.1081,2.3963,0.4103,2.1522,0.99999,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,1e-05,1e-05,1.0,0.0,2.0,,SH-15
3285.5,3061.1262,63.0143,1.8421,0.416,2.1583,0.99999,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,1e-05,1e-05,1.0,0.0,2.0,,SH-15
